Title;year;Kind;Genre;rating;vote;Country;Language;Cast;Director;composer;Writer;runtime;
Moon Child;1989;Movie;Fantasy, Sci-Fi;6.3;523;Spain;Spanish;Maribel Martín, Lisa Gerrard, Enrique Saldana, Lucia Bosè, David Sust, Mary Carrillo, Günter Meisner, Heidi Ben Amar, Lydia Azzopardi, Jack Birkett, Lluís Homar, Albert Dueso, Joaquim Cardona, Lydia Zimmermann, Ramon Colomina, Marc Bono, Mónica Goday, Nathalie Mouckeyton, Walmir Chaves, Xesc Barceló, Javier Navarrete, Juan Eduardo López, Jordi Bosch, Luciano Federico, Miguel Mateos Martín, John Jonny, Llàtzer Escarceller, Lucia De Sousa, Alí Beharetli, Laila Jerbi, Paco Villar, Tristán Mur, Curtis Jones, Enric Cervera, Pep Tosar;Agustí Villaronga;Dead Can Dance;Agustí Villaronga;118;
No One Writes To The Colonel;1999;Movie;Drama;6.7;1126;Mexico, France, Spain;Spanish;Fernando Luján, Marisa Paredes, Salma Hayek, Rafael Inclán, Ernesto Yáñez, Daniel Giménez Cacho, Esteban Soberanes, Patricia Reyes Spíndola, Odiseo Bichir, Julián Pastor, Eugenio Lobo, Enrique Castillo, Jorge Castillo, Juana Garza, Mercedes Gironella, Osami Kawano, Eligio Meléndez, Jacobo Atri Mizrahi, Loló Navarro, Leticia Valenzuela;Arturo Ripstein;David Mansfield;Paz Alicia Garciadiego, Gabriel García Márquez;122;
Nobody Knows Anybody;1999;Movie;Drama, Thriller;5.9;2471;Spain;Spanish;Eduardo Noriega, Jordi Mollà, Natalia Verbeke, Paz Vega, Pedro Álvarez-Ossorio, Mauro Rivera, Jesús Olmedo, Críspulo Cabezas, Joserra Cadiñanos, José Manuel Seda, Richard Henderson, José Cantero, Anne Deluz, Petra Martínez, Pablo Matilla, Manuel Morón, Joaquín Notario, José Rodríguez Quintos, Juan Carlos Roldán, Lucio Romero, José Salas, Silvia Sánchez, Agustín Ustarroz, Alejandro Amenábar, Mateo Gil, Juan Carlos Martínez Antuña;Mateo Gil;Alejandro Amenábar;Juan Bonilla, Mateo Gil;108;
Numbered Days;1994;Movie;Crime, Drama, Thriller;6.6;1961;Spain;Spanish;Carmelo Gómez, Ruth Gabriel, Javier Bardem, Karra Elejalde, Candela Peña, Elvira Mínguez, Pepón Nieto, Joseba Apaolaza, Chacho Carreras, Pedro Casablanc, Raquel Sanchís, David Pinilla, Pepe Colmenero, Marga Sánchez, Mariola Fuentes, José Martorell, Gloria Sirvent, Encarnación Piedrabuena, Francisco Videto, Álvaro Gómez, Leopoldo Casares, Reyes Abades, Pietro Olivera, Imán Padellano;Imanol Uribe;José Nieto;Imanol Uribe, Juan Madrid;93;
Our Lady Of The Assassins;2000;Movie;Crime, Drama;6.8;3887;Spain, France, Colombia;Spanish;Germán Jaramillo, Anderson Ballesteros, Juan David Restrepo, Manuel Busquets, Wilmar Agudelo, Juan Carlos Álvarez, Jairo Alzate, Zulma Arango, José Luis Bedoya, Cenobia Cano, Eduardo Carvajal, Olga Lucía Collazos, Jorge A. Correa, Phanor Delgado, Albeiro Lopera, Wilson Lopez, Alexander Molina, Aníbal Moncada, Jaime Osorio Gómez, Carlos Ordóñez, Teyler Pérez, Edwin Porras, Gustavo Restrepo, John Mario Restrepo, Juan Tejada, Carlos A. Danita, Nicolas Franco, Héctor Galan, Rubí Henao, John Jaramillo, Juan Fdo. León, Carlos Zapata, Serafín Zapata, Martha Libia Zuluaga, César Gaviria, Ernesto Samper, Barbet Schroeder;Barbet Schroeder;Jorge Arriagada;Fernando Vallejo, Fernando Vallejo;101;
Palabras Encadenadas;2003;Movie;Crime, Drama, Thriller;7.0;2340;Spain;Spanish;Darío Grandinetti, Goya Toledo, Fernando Guillén, Eric Bonicatto, Blanca Apilánez, Alex Brull, Mariona Perrier, Alexis Hill, Àngels Sirvent, Susana Querol, Mikele, Arturo Matamoros, Germán José, Robert Forcadell;Laura Mañá;Francesc Gener;Fernando De Felipe, Laura Mañá, Jordi Galceran;89;
Por Si No Te Vuelvo A Ver;1997;Movie;Comedy;7.1;163;Mexico;Spanish;Alfredo Alfonso, Óscar Castañeda, Aurora Cortés, José Diaz Estévez, Ana Bertha Espín, Jorge Galván, Zaide Silvia Gutiérrez, Leticia Huijara, Max Kerlow, Miguel Lavandeira, Justo Martínez, Angelina Peláez, Ignacio Retes, José Carlos Rodríguez, Melquiades Sánchez Orozco, Blanca Torres, Lucero Trejo, Rodolfo Velez, David Villalpando, Javier Zaragoza;Juan Pablo Villaseñor;Tito Enríquez;Juan Pablo Villaseñor;97;
Question Of Luck;1997;Movie;Crime, Drama, Thriller;6.2;280;Spain;Spanish;Anna Galiena, Eduardo Noriega, Marta Belaustegui, Leyre Berrocal, Simón Andreu, Ion Gabella, Mikel Garmendia, Ana Miranda, Paco Sagarzazu, Maiken Beitia, Paco Hernando, Daniel Trepiana, Mikel Laskurain, Angel Alkain, Isidoro Fernández, Maite Díaz, Jorge Carrero, Aitzpea Goenaga;Rafael Moleón;Bernardo Bonezzi;Luis Marías, Carlos Pérez Merinero;92;
Raquel'S Shoeshiner;1957;Movie;Comedy, Drama;7.2;835;Mexico;Spanish;Cantinflas, Manola Saavedra, Flor Silvestre, Paquito Fernández, Daniel Chino Herrera, Mario Sevilla, Alberto Catalá, Roberto Meyer, Elaine Bruce, Leonor Gómez, Erika Carlsson, Roberto Corell, Pedro Elviro, Pablo Ferrel, Lidia Franco, Elodia Hernández, John Kelly, Carlos León, Dina De León, Salvador Lozano, Casimiro Ortega, Manuel Trejo Morales, Guillermo Álvarez Bianchi;Miguel M. Delgado;Raúl Lavista;Daniel Jiménez, Jaime Salvador, Jaime Salvador;101;
Ratas, Ratones, Rateros;1999;Movie;Action, Crime, Drama;7.3;801;Ecuador;Spanish;Carlos Valencia, Marco Bustos, Cristina Dávila, Fabricio Lalama, Irina López, Simon Brauer, Lupe Machado, Liliana Ruiz, Alfredo Martínez, Sebastián Cordero, Antonio Negret;Sebastián Cordero;Hugo Idrovo, Sergio Sacoto-Arias;Sebastián Cordero;107;
Secrets Of The Heart;1997;Movie;Drama;7.1;1808;France, Portugal, Spain;Spanish;Carmelo Gómez, Charo López, Silvia Munt, Vicky Peña, Andoni Erburu, Álvaro Nagore, Íñigo Garcés, Joan Vallés, Joan Dalmau, Chete Lera, Manolo Monje, José María Asín, Carlos Salaberri, Iñaki Azcona, Raquel Sanchís, Goyo González, Javier Fernández, Jesús Torres, Olaia Ezker, Eduardo Martínez, Laura Rico, José Manuel Acosta, José Ángel Rebolledo, Eduardo Rubio, Natalia García Sanz, Javier Indurain, Vicente Setoain, Carlos Cirauqui, Juan Barbería, Javier Garzaron, Fermín Ilundain, Ion Joven, Ricardo Gil, Alejandro Ibáñez, Pablo Zarraluqui, Manuel Montesino, Roberto Rodríguez, César Ramos, Marcos Oficialdegu, Ignacio Arrieta, Guillermo Ubago, Javier Eraso, David Ibiricu, Fernando Zarraluqui, Pablo Vidart, Javier Villanueva, Antonio Giménez, Vicente Perez;Montxo Armendáriz;Bingen Mendizábal;Montxo Armendáriz;105;
Solas;1999;Movie;Drama;7.6;3467;Spain, Canada;Spanish;María Galiana, Ana Fernández, Carlos Álvarez-Nóvoa, Antonio Dechent, Paco De Osca, Juan Fernández, Miguel Alcíbar, Pilar Sánchez, Concha Galán, Paco Tous, Rosario Lara, Pepa Faraco, Estrella Távora, José Manuel Seda, Magdalena Barbero, Sebastián Haro, Práxedes Nieto, Manolo Linares, Talco, Pilar Romero, Gloria De Jesús, Benito Cordero, María Alfonsa Rosso, Rosario Pardo, Milagrosa Lozano, Mariana Cordero, Ana Aguilar, Maica Sánchez Caballero, Miguel A. Martos, Federico Rivelott, José Chaves, Cuca Escribano, Lara Grube;Benito Zambrano;Antonio Meliveo;Benito Zambrano;101;
Su Excelencia;1967;Movie;Comedy, Drama;7.1;575;Mexico;Spanish;Cantinflas, Sonia Infante, Guillermo Zetina, Tito Junco, Miguel Manzano, José Gálvez, Víctor Alcocer, Maura Monti, Jack Kelly, Eduardo Alcaraz, Fernando Wagner, Carlos Riquelme, Quintín Bulnes, Eduardo Macgregor, Luis Manuel Pelayo, Fernando Mendoza, Antonio Medellín, Alberto Galán, Alberto Catalá, Ricardo Adalid, Daniel Arroyo, Victorio Blanco, Queta Carrasco, Jorge Casanova, Farnesio De Bernal, Gerardo Del Castillo, Victor Eberg, Pedro Elviro, Enrique García Álvarez, Aarón Hernán, Velia Lupercio, Rubén Márquez, Manuel Trejo Morales, Fernando Yapur, Manuel Zozaya;Miguel M. Delgado;Sergio Guerrero;Marco A. Almazán, Cantinflas, Carlos León;133;
Talk To Her;2002;Movie;Drama, Mystery, Romance;7.9;108655;Spain;Spanish;Javier Cámara, Darío Grandinetti, Leonor Watling, Rosario Flores, Mariola Fuentes, Geraldine Chaplin, Pina Bausch, Malou Airaudo, Caetano Veloso, Roberto Álvarez, Elena Anaya, Lola Dueñas, Adolfo Fernández, Ana Fernández, Chus Lampreave, Loles León, Fele Martínez, Helio Pedregal, José Sancho, Paz Vega, Beatriz Santiago, Juan Fernández, Carmen Machi, Ismael Martínez, Joserra Cadiñanos, Ángel Infantes, Agustín Almodóvar, Adela Donamaría, Carlos García Cambero, Esther García, Lola García, Sonia Grande, Ben Lindbergh, Carlos Miguel, Michel Ruben, Ana Sanz, Jean-Laurent Sasportes, Nazareth Panadero, Dominique Mercy, Michael Strecker, Ruth Amarante, Aida Vainieri, Rainer Behr, Stephen Brinkmann, Jorge Puerta, Daphnis Kokkinos, Fernando Suels, Fabien Prioville, Cristiana Morganti, Julie Shanahan, Melanie Maurin, Ditta Jasjfi, Azusa Seyama, Barbara Hampel, Regina Advento, Andrey Berezin, Catalina Arteaga, Víctor Matos, Raquel Aguilera, Vicente Palomo, Lucía Barbadillo, Raquel Rey, Miguel Ángel Bolo, Raúl Montes, Rayco Cano, Natalia Rook, Lara Hernandorena, Benoit Causse, Isaac Monllor, Marina Jiménez, Joaquín Abad, Elena Benarroch, Yuyi Beringola, Javier Conde, Paola Dominguín, Jaime Fernández-Cid Buscató, Fernando Guillén Cuervo, Fernando Iglesias, Martirio, Juan Carlos Martínez Antuña, Marisa Paredes, Cecilia Roth, Mamen Segovia, Alejandro Tous, José María Yazpik;Pedro Almodóvar;Alberto Iglesias;Pedro Almodóvar;112;
The Cook Of Castamar;2021;Tv Series;Drama;7.4;2352;Spain;Spanish;Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás, Agnès Llobet, Paula Usero, Jean Cruz, Òscar Rabadán, Fiorella Faltoyano, Mónica López, Michel Tejerina, Roser Pujol, Marina Gatell, Jaime Zatarain, Nancho Novo, Javier Lago, Juan Meseguer, Silvia Abascal, Carlos Serrano-Clark, Xabier Murua, Anna Cortés, Joseph Ewonde, Pepe Ocio, Joan Carreras, Alberto Mateo, Xenia Tostado, Clara Chacón, Julio Jordán, Puchi Lagarde, Eva Rufo, Raquel Quintana, Eugenia Cuaresma, Sergio Pineda, Sergi Corominas, Miguel Villalba, Arturo De La Torre, Aina Requena, Ramón Merlo, Óscar Ortuño, David García, Ian Alvarez, Pablo Macho, Albert Riballo, Aria Bedmar, Miguel Ramiro, Antonio Sarrió, Agustín Ustarroz, Kino Alcántara, Guillermo Dorda;Unknown;Unknown;Fernando J. Múñez, Tatiana Rodríguez, Tatiana Rodríguez;;
The Crime Of Padre Amaro;2002;Movie;Drama, Romance;6.7;13501;Mexico, Spain, Argentina, France;Spanish;Gael García Bernal, Ana Claudia Talancón, Sancho Gracia, Angélica Aragón, Luisa Huertas, Ernesto Gómez Cruz, Gastón Melo, Andrés Montiel, Damián Alcázar, Gerardo Moscoso, Alfredo Gonzáles, Verónica Langer, Pedro Armendáriz Jr., Lorenzo De Rodas, Roger Nevares, Fernando Becerril, Jorge Zárate, Rosa María Castillo, Blanca Loaria, Juan Ignacio Aranda, Martín Zapata, Dagoberto Gama, Rogelio Rojas, Jorge Castillo, Mario Figueroa, Enrique Vásquez, Cristo Yánez, Marina Vera, Leticia Valenzuela, Raul Askenazi, Carmen Giménez Cacho, Roberto Linares, Víctor Hernández, Isidra Morales, Martha Posternak, Ines Cuspinera, José Luis Caballero, Vanesa Barba, Paloma Cobos, Enrique Gilardi, Jaime Cancino, Pablo Hoyos, Daniel Posternak, Dino Demichelis, Ana Izquierdo, José Guadalupe Pintor, Alejandro Álvarez, Sergio Navarro, José Santos, Miguel Ángel Álvarez, Ma. Del Rosario Rodríguez, Lilia Hernández, Beatriz Álvarez, Ángel Cristian Cruz, Selena Hurtado, Norma Angélica González, Pope John Paul Ii;Carlos Carrera;Rosino Serrano;Vicente Leñero, Eça De Queirós;118;
The Curious Dr. Humpp;1969;Movie;Horror, Sci-Fi;4.9;558;Argentina;Spanish;Ricardo Bauleo, Gloria Prat, Aldo Barbero, Susana Beltrán, Justin Martin, Michel Angel Olmos, Mary Albano, Al Bugatti, Héctor Biuchet, Greta Williams, Alex Klapp, Norberto Nelson, Orestes Trucco, Emilio Vieyra;Emilio Vieyra, Jerald Intrator;Víctor Buchino;Emilio Vieyra, Emilio Vieyra;87;
The Grandfather;1998;Movie;Drama;7.4;1829;Spain;Spanish;Fernando Fernán Gómez, Rafael Alonso, Cayetana Guillén Cuervo, Agustín González, Cristina Cruz, Alicia Rozas, Fernando Guillén, Francisco Piquer, María Massip, José Caride, Francisco Algora, Emma Cohen, Juan Calot, Concha Gómez Conde, Nuria Rodríguez, José Luis Merino, Antonio Valero, Selica Torcal, Félix Acaso, Julio Gavilanes, Juan Antonio Gálvez, Sara Vivas;José Luis Garci;Manuel Balboa;José Luis Garci, Benito Pérez Galdós, Horacio Valcárcel;151;
The Holy Girl;2004;Movie;Drama;6.8;3816;Argentina, Italy, Netherlands, Spain;Spanish;Mercedes Morán, Carlos Belloso, Alejandro Urdapilleta, María Alche, Julieta Zylberberg, Mía Maestro, Marta Lubos, Arturo Goetz, Alejo Mango, Mónica Villa, Leandro Stivelman, Manuel Schaller, Miriam Diaz, Rodolfo Cejas, Maria Victoria Mosca Coll, Ornella Velazco, Guadalupe Pardo Hernandez, Ana Carolina Beltrán, Rodolfo Cabrera, Maria Susana Falcon, Guillermo Enrique Castro, Victor Anuch, Sebastian Diaz Sabala, Maria Micol Ellero, Sebastián Montagna, Maria Emilia Martinez, Guido Nunez, Nilda Silvia Suarez, Ana Maria Fernandez, Carlos Silvio Poma, Eduardo Jesus Chaig, Juan Solis, Roberto Bernacki, Oscar Victoriano Sarmiento, David Daniel Torino, Eliana Santillan, Alejandro Leonidas Diaz, Florinda Rosa Guamante, David Mansilla, Pablo Arias, Marcos Reynoso;Lucrecia Martel;Andres Gerszenzon;Juan Pablo Domenech, Lucrecia Martel;106;
The Illiterate One;1961;Movie;Comedy;7.2;574;Mexico;Spanish;Cantinflas, Lilia Prado, Ángel Garasa, Sara García, Miguel Manzano, Carlos Agostí, Daniel Chino Herrera, Fernando Soto, Guillermo Orea, Óscar Ortiz De Pinedo, Carlos Martínez Baena, Judy Ponte, María Teresa Rivas, Margarita Villegas, Luis Manuel Pelayo, Lidia Franco, León Barroso, Alicia Moreno, Armando Arriola, Palmira Arzubide, Ildefonso González, Zita Torreblanca, Alberto Catalá, Amada Dosamantes, Manuel Alvarado, José Peña, Cecilia A. Martínez, José Carlos Méndez, Armando Acosta, Jorge Casanova, José Chávez, Gerardo Del Castillo, Pedro Elviro, Enrique García Álvarez, Alberto Goula, Roberto Meyer, José Pardavé, Francisco Reiguera, Salvador Terroba;Miguel M. Delgado;Manuel Esperón;Marcelo Salazar, Juan López, Carlos León;128;
The Innocent;2021;Tv Mini Series;Crime, Drama, Mystery, Thriller;7.9;22753;Spain;Spanish;Mario Casas, Xavi Sáez, Santi Pons, Sam Feuer, Aura Garrido, Alexandra Jiménez, Jose Coronado, Martina Gusman, Juana Acosta, Susi Sánchez, Miki Esparbé, Anna Alarcón, Josean Bengoetxea, Oriol Vila, Aysha Daraaui, Natalia Bilbao, Mima Riera, Javier Beltrán, Lluïsa Mallol, Gonzalo De Castro, Ana Wagener, Jordi Coll, Oriol Guinart, Asia Ortega, Eudald Font, Pedro Hernández, Toro Cuenca, Alejandro Albarracín, Ariadna Cabrol, Marc Rodríguez, Aina Planas, Mireia Vilapuig, Montse Morillo, David Vert, Ainhara Rodríguez, Cristina Genebat, Joana Belmonte, Louise Good, Miquel Sitjar, Cristina Murillo, Tània Sarrias, Yoharis De Lopo, Jordi Vidal, Martín Noriega, Cocó Salvador, Zoe Arnao, Ricardo Cerezo, Ariadna De Guzmán, Toni Cayuela, Nico Conde;Unknown;Unknown;Harlan Coben, Oriol Paulo, Oriol Paulo;467;
The Little Priest;1964;Movie;Comedy, Drama, Family;7.1;788;Mexico;Spanish;Cantinflas, Ángel Garasa, Rosa María Vázquez, José Elías Moreno, Angelines Fernández, Rogelio Guerra, Florencio Castelló, Jorge Russek, Arturo Castro Bigotón, Gerardo Del Castillo, Armando Gutiérrez, José Luis Moreno, Alfonso Torres, Mary Montiel, Alberto Catalá, Elodia Hernández, Alberto Galán, Cecilia Leger, René Barrera, Queta Carrasco, Marcelo Lopez Linares;Miguel M. Delgado;Raúl Lavista;Miguel M. Delgado, Miguel M. Delgado, Fernando Galiana;130;
The Nameless;1999;Movie;Drama, Horror, Mystery, Thriller;5.9;7270;Spain;Spanish;Emma Vilarasau, Karra Elejalde, Tristán Ulloa, Toni Sevilla, Brendan Price, Jordi Dauder, Núria Cano, Isabel Ampudia, Carles Punyet, Aleix Puiggalí, Susana García Díez, Pep Tosar, Carme Capdet, Manel Solás, Víctor Guillén, Sebastià Sellent, Boris Ruiz, Josep Maria Domènech, Manuel Bronchud, Joan Massotkleiner, Carlos Lasarte, Pepita Alguersuari, Jessica Del Pozo, Judith Tort, Susana González, Agustín Mellines, Ferran Terraza, Dianne Arnaldo, María Bianco, Luis Casacuberta, Mercè Gil, Sergi Martí, Pedro Antonio Segura, Mercè Sierra, Domènec Barbarà, Marta Barbará, Pepe Mediavilla;Jaume Balagueró;Carles Cases;Jaume Balagueró, Ramsey Campbell;102;
The Other Side Of The Bed;2002;Movie;Comedy, Drama, Musical, Romance;6.4;5511;Spain;Spanish;Ernesto Alterio, Paz Vega, Guillermo Toledo, Natalia Verbeke, Alberto San Juan, María Esteve, Ramón Barea, Nathalie Poza, Secun De La Rosa, Carol Salvador, Geli Albaladejo, Blanca Marsillach, Leticia Dolera, Coté Soler, Luis Bermejo, Curro Iglesias, Javier Gutiérrez, Mohamed Khashoggi, Daniel González, Roma Alfaro, Coral Ortega, Dacia González, Mercedes Del Castillo, Julio Viero, Julio Reches, Carolina Garrigues, Clara Martínez-Lázaro, Fernando Vera;Emilio Martínez Lázaro;Roque Baños, Bernardo Fuster, Luis Mendo;David Serrano;114;
The Silent Generation;2020;Movie;Documentary;;;Spain;Spanish;;Ferran Navarro-Beltran;Jesús Díaz;Ferran Navarro-Beltran;61;
Things I Left In Havana;1997;Movie;Comedy, Drama, Romance;6.1;218;Spain;Spanish;Jorge Perugorría, Violeta Rodríguez, Kiti Mánver, Broselianda Hernández, Isabel Santos, Daisy Granados, Charo Soriano, Pepón Nieto, Luis Alberto García, Francisco Merino, María Isabel Díaz Lago, Alejandro Jiménez, Aylen Álvarez, Linda Marabal, Luis García, Roberto Perdomo, Juan Viadas, Franky Huesca, Kimbo, Juan Carlos López, Alberto Ramírez, Arami Garit, María Álvarez, Carolina Besuievsky, Marianela Peña, Eduardo Rodríguez, Pedro Betancourt, Héctor Fernández, Joe Pardo, Consuelo Pacheco, Amerilys Delgado, Susy Oliva, Beth Sheather, Alejandro Aguilar, Magalys Gaínza, Magilée Álvarez Gómez, Raúl Torres Otley;Manuel Gutiérrez Aragón;José María Vitier;Abilio Estévez, Manuel Gutiérrez Aragón, Senel Paz;110;
Tie Me Up! Tie Me Down!;1989;Movie;Comedy, Crime, Drama, Romance;7.0;27439;Spain;Spanish;Victoria Abril, Antonio Banderas, Loles León, María Barranco, Rossy De Palma, Julieta Serrano, Francisco Rabal, Lola Cardona, Montse G. Romeu, Emiliano Redondo, Oswaldo Delgado, Concha Rabal, Alberto Fernández, José María Tasso, Angelina Llongueras, Manuel Bandera, Virginia Díez, Juana Cordero, Francisca Caballero, Francisca Pajuelo, Víctor Coyote, Carlos García Cambero, Alito Rodgers, Tamaki, Malena Gracia, Agustín Almodóvar, Rodolfo Montero, Miguel García, Pedro Losada, Francisco Peramos;Pedro Almodóvar;Ennio Morricone;Pedro Almodóvar, Pedro Almodóvar;101;
Todo El Poder;2000;Movie;Crime;6.7;1099;Mexico;Spanish;Demián Bichir, Cecilia Suárez, Luis Felipe Tovar, Ximena Sariñana, Rodrigo Murray, José Carlos Rodríguez, Diego Luna, Juan Carlos Colombo, Jorge Zárate, Carmen Salinas, Verónica Langer, Claudia Lobo, Mario Zaragoza, Ricardo Kleinbaum, Alfonso Bravo, Alex Cox, Martha Cristiana, Wes Martinez, Gabriela Murray, Olallo Rubio, Fernanda Tapia, Alejandra Gollas;Fernando Sariñana;Unknown;Enrique Renteria, Carolina Rivera;105;
Veronico Cruz;1988;Movie;Drama, War;6.9;200;United Kingdom, Argentina;Spanish;Leopoldo Aban, Juan José Camero, Guillermo Delgado, Ana María González, Gonzalo Morales, René Olaguivel, Fortunato Ramos;Miguel Pereira;Jaime Torres;Eduardo Leiva Muller, Miguel Pereira, Fortunato Ramos;106;
Vis A Vis;2015;Tv Series;Action, Adventure, Drama, Thriller;8.2;19207;Spain;Spanish;Alba Flores, María Isabel Díaz Lago, Marta Aledo, Najwa Nimri, Berta Vázquez, Jesús Castejón, Laura Baena, Ramiro Blas, Alberto Velasco, Inma Cuevas, Maggie Civantos, Roberto Enríquez, Cristina Plazas, Daniel Ortiz, Harlys Becerra, Carlos Hipólito, María Salgueiro, Itziar Castro, Zaira Pérez, Adriana Paz, Abril Zamora, Gloria García Barquero, José Javier Domínguez, Adryen Mehdi, Dunia Rodríguez, Rubén Corvo, Mona Martínez, Ruth Díaz, Olivia Delcán, Ana Marzoa, Sara Vidorreta, Huichi Chiu, Javier Lara, Luis Callejo, Chen Lu, Paula Medina, Irene Anula, Benjamín Vicuña, Verónika Moral, Sonia Almarcha, Elena Seijo, Hugo Guzmán, Hakim Noury, Cristina Marcos, María Cruickshank, Irene Arcos, Georgina Amorós, Wenjun, Noelia Noto, Yiyo Alonso;Unknown;Unknown;Iván Escobar, Iván Escobar, Iván Escobar;53;
What Your Eyes Don'T See;2000;Movie;Action, Romance, Drama, Thriller;6.0;62;Argentina;Spanish;Déborah Abranson, Cristina Banegas, Mariano Bolfarini, César Bordón, Luis Brandoni, Sebastán Calarota, Ana Julia Catalá, José Luis Cuello, Mauricio Dayub, Nuria Docampo Feijóo, Gabriel Fernández, Ludmila Finsik, Alejandra Flechner, Victoria Galardi, Juan Ramón Gaona, Verónica Andrea Gómez, Pablo Ini, Camila Keller Sarmiento, Agustina Lecouna, Luis Luque, Luis Machín, Pepe Mariani, Jorge Marrale, Axel Pauls, Gastón Pauls, Carlos Portaluppi, Gabriel Rovito, Leonardo Saggese, Diego Slelatt, Malena Solda, Javier Van De Couter;Beda Docampo Feijóo;Iván Wyszogrod;Enrique Cortés, Beda Docampo Feijóo;90;
Y Tu Mamã¡ Tambiã©N;2001;Movie;Drama;7.6;119270;Mexico;Spanish;Daniel Giménez Cacho, Ana López Mercado, Diego Luna, Gael García Bernal, Nathan Grinberg, Verónica Langer, María Aura, Giselle Audirac, Arturo Ríos, Andrés Almeida, Diana Bracho, Emilio Echevarría, Marta Aura, Maribel Verdú, Juan Carlos Remolina, Liboria Rodríguez, Silverio Palacios, Mayra Serbulo, Andrea López, Amaury Sérbulo, Jorge Vergara;Alfonso Cuarón;Unknown;Carlos Cuarón, Alfonso Cuarón;106;
Bulgarian Lovers;2003;Movie;Comedy, Crime, Drama, Romance;5.7;903;Spain;Spanish, Bulgarian;Fernando Guillén Cuervo, Dritan Biba, Pepón Nieto, Roger Pera, Anita Sinkovic, Fernando Albizu, Roman Luknár, Simón Andreu, Julia Martínez, Gracia Olayo, Emma Penella, Aure Sánchez, Shai Bercovich, Labinot Nuredini, Alberto Lozano, Óscar Iniesta, Marin Dimitrov Yanev, Elena Konstantinova Raynova, Nikolai Maksimov Genchev, Alejandro Núñez, Inés Sájara, Antonio Del Olmo, Isabel Ampudia, Alberto Vázquez, David Pinilla, Alejandro Arroyo, Julio Díez;Eloy De La Iglesia;Antonio Meliveo;Fernando Guillén Cuervo, Eloy De La Iglesia, Antonio Hens;101;
All About My Mother;1999;Movie;Drama;7.9;92808;Spain, France;Spanish, Catalan;Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan, Penélope Cruz, Rosa Maria Sardà, Fernando Fernán Gómez, Toni Cantó, Eloy Azorín, Carlos Lozano, Fernando Guillén, Manuel Morón, José Luis Torrijo, Juan José Otegui, Carmen Balagué, Malena Gutiérrez, Yael Barnatán, Carme Fortuny, Patxi Freytez, Juan Márquez, Michel Ruben, Daniel Lanchas, Rosa Manaut, Carlos García Cambero, Agustín Almodóvar, Paz Sufrategui, Lola García, Esther García, Inma Subirà, Cayetana Guillén Cuervo, Alexia Pardo, Lluís Pasqual, Dolors Pozzan, Fito Páez;Pedro Almodóvar;Alberto Iglesias;Pedro Almodóvar;101;
My Mother Likes Women;2002;Movie;Comedy, Drama;6.2;1615;Spain;Spanish, Czech;Leonor Watling, Rosa Maria Sardà, María Pujalte, Silvia Abascal, Eliska Sirová, Chisco Amado, Álex Angulo, Xabier Elorriaga, Aitor Mazo, Sergio Otegui, Gabriel Garbisu, Nicolás Quirós, Thomas Obermaier, Carla Calparsoro, Ana Goya, Inés Castellanos, Laura Pizarroso, Adriana Otaola, Saturna Barrios, Fernando Colomo, Alberto Chaves, Lucía Del Río;Daniela Féjerman, Inés París;Juan Bardem;Daniela Féjerman, Inés París;96;
Â¡Vampiros En La Habana!;1985;Movie;Animation, Comedy, Horror, Romance;7.0;1322;Cuba, Spain, West Germany;Spanish, English;Frank González, Manuel Marín, Irela Bravo, Carlos Gonzalez, Mirella Guillot, Carmen Solar, Juan Padrón, Margarita Aguero, Friedrich W. Bauschulte, Friedrich G. Beckhaus, Detlef Bierstedt, Sonja Deutsch, Joseline Gassen, Helmut Gauß, Manfred Grote, Hans-Joachim Grubel, Hans W. Hamacher, Wilfried Herbst, Alexander Herzog, Jürgen Kluckert, Alexandra Lange, Andreas Mannkopff, Tobias Meister, Krikor Melikyan, Klaus Miedel, H.H. Müller, Hans Nitschke, Joachim Nottke, Edgar Ott, Chris Palm, Manfred Petersen, Eberhard Prüter, Melvin Quiñones, Barbara Ratthey, Joachim Röcker, Erwin Schastok, Christine Schnell, Jochen Schröder, Karl Schulz, Norbert Schwarz, Hannelore Schüler, Herbert Stass, Walter Tschernich, Hermann Wagner, Herbert Weissbach, Patrick Winczewski, Hans-Jürgen Wolf, Santiago Ziesmer, Wolfgang Ziffer;Juan Padrón;Rembert Egües;Ernesto Padrón, Ernesto Padrón, Juan Padrón;69;
Arachnid;2001;Movie;Action, Adventure, Horror, Sci-Fi, Thriller;3.9;2853;Spain, United States, Mexico;Spanish, English;Chris Potter, Alex Reid, José Sancho, Neus Asensi, Ravil Isyanov, Luis Lorenzo Crespo, Rocqueford Allen, Jesús Cabrero, Robert Vicencio, Héctor Chiquín, Conejo Wilson, Fausto Gualsaqui, Gavin Sims;Jack Sholder;Francesc Gener;Mark Sevi;95;
